instance_id,name,value
PI-000267,prNo,PR-000055
PI-000267,materialCode,MAT-00047
PI-000267,amount,96614.58
PI-000268,prNo,PR-000055
PI-000268,poNo,PO-000062
PI-000268,amount,182860.38
PI-000268,supplierCode,SUP-002
PI-000269,poNo,PO-000062
PI-000269,grNo,GR-000080
PI-000269,materialCode,MAT-00033
PI-000270,poNo,PO-000062
PI-000270,invoiceNo,INV-000073
PI-000270,amount,186314.38
PI-000271,prNo,PR-000056
PI-000271,materialCode,MAT-00025
PI-000271,amount,634.97
PI-000272,prNo,PR-000056
PI-000272,poNo,PO-000063
PI-000272,amount,11533.06
PI-000272,supplierCode,SUP-001
PI-000273,poNo,PO-000063
PI-000273,grNo,GR-000081
PI-000273,materialCode,MAT-00025
PI-000274,poNo,PO-000063
PI-000274,invoiceNo,INV-000074
PI-000274,amount,11670.85
PI-000275,prNo,PR-000057
PI-000275,materialCode,MAT-00045
PI-000275,amount,4679.36
PI-000276,prNo,PR-000057
PI-000276,poNo,PO-000064
PI-000276,amount,85260.12
PI-000276,supplierCode,SUP-012
PI-000277,poNo,PO-000064
PI-000277,grNo,GR-000082
PI-000277,materialCode,MAT-00045
PI-000278,poNo,PO-000064
PI-000278,invoiceNo,INV-000075
PI-000278,amount,84181.39
PI-000279,prNo,PR-000058
PI-000279,materialCode,MAT-00001
PI-000279,amount,55780.52
PI-000280,prNo,PR-000058
PI-000280,poNo,PO-000065
PI-000280,amount,127432.11
PI-000280,supplierCode,SUP-012
PI-000281,poNo,PO-000065
PI-000281,grNo,GR-000083
PI-000281,materialCode,MAT-00047
PI-000282,poNo,PO-000065
PI-000282,invoiceNo,INV-000076
PI-000282,amount,126968.43
PI-000283,prNo,PR-000059
PI-000283,materialCode,MAT-00032
PI-000283,amount,31228.28
PI-000284,prNo,PR-000059
PI-000284,poNo,PO-000066
PI-000284,amount,204739.59
PI-000284,supplierCode,SUP-007
PI-000285,poNo,PO-000066
PI-000285,grNo,GR-000084
PI-000285,materialCode,MAT-00032
PI-000286,poNo,PO-000066
PI-000286,invoiceNo,INV-000077
PI-000286,amount,204005.7
PI-000287,prNo,PR-000060
PI-000287,materialCode,MAT-00001
PI-000287,amount,60490.84
PI-000288,prNo,PR-000060
PI-000288,poNo,PO-000067
PI-000288,amount,69087.58
PI-000288,supplierCode,SUP-003
PI-000289,prNo,PR-000061
PI-000289,materialCode,MAT-00037
PI-000289,amount,3893.16
PI-000290,prNo,PR-000061
PI-000290,poNo,PO-000068
PI-000290,amount,85079.98
PI-000290,supplierCode,SUP-002
PI-000291,poNo,PO-000068
PI-000291,grNo,GR-000085
PI-000291,materialCode,MAT-00014
PI-000292,poNo,PO-000068
PI-000292,invoiceNo,INV-000078
PI-000292,amount,85123.05
PI-000293,prNo,PR-000062
PI-000293,materialCode,MAT-00011
PI-000293,amount,42344.2
PI-000294,prNo,PR-000062
PI-000294,poNo,PO-000069
PI-000294,amount,62429.71
PI-000294,supplierCode,SUP-001
PI-000295,poNo,PO-000069
PI-000295,grNo,GR-000086
PI-000295,materialCode,MAT-00031
PI-000296,poNo,PO-000069
PI-000296,grNo,GR-000087
PI-000296,materialCode,MAT-00031
PI-000297,poNo,PO-000069
PI-000297,invoiceNo,INV-000079
PI-000297,amount,63463.86
PI-000298,prNo,PR-000063
PI-000298,materialCode,MAT-00013
PI-000298,amount,12750.57
PI-000299,prNo,PR-000063
PI-000299,poNo,PO-000070
PI-000299,amount,166599.68
PI-000299,supplierCode,SUP-011
PI-000300,poNo,PO-000070
PI-000300,grNo,GR-000088
PI-000300,materialCode,MAT-00033
PI-000301,poNo,PO-000070
PI-000301,invoiceNo,INV-000080
PI-000301,amount,168973.83
PI-000302,prNo,PR-000064
PI-000302,materialCode,MAT-00043
PI-000302,amount,10787.43
PI-000303,prNo,PR-000064
PI-000303,poNo,PO-000071
PI-000303,amount,151736.22
PI-000303,supplierCode,SUP-007
PI-000304,poNo,PO-000071
PI-000304,grNo,GR-000089
PI-000304,materialCode,MAT-00057
PI-000305,poNo,PO-000071
PI-000305,grNo,GR-000090
PI-000305,materialCode,MAT-00012
PI-000306,poNo,PO-000071
PI-000306,invoiceNo,INV-000081
PI-000306,amount,149436.11
PI-000307,prNo,PR-000065
PI-000307,materialCode,MAT-00008
PI-000307,amount,46944.46
PI-000308,prNo,PR-000065
PI-000308,poNo,PO-000072
PI-000308,amount,99831.55
PI-000308,supplierCode,SUP-006
PI-000309,poNo,PO-000072
PI-000309,grNo,GR-000091
PI-000309,materialCode,MAT-00034
PI-000310,poNo,PO-000072
PI-000310,invoiceNo,INV-000082
PI-000310,amount,100126.17
PI-000311,prNo,PR-000066
PI-000311,materialCode,MAT-00053
PI-000311,amount,55452.99
PI-000312,prNo,PR-000066
PI-000312,poNo,PO-000073
PI-000312,amount,91557.39
PI-000312,supplierCode,SUP-001
PI-000313,poNo,PO-000073
PI-000313,grNo,GR-000092
PI-000313,materialCode,MAT-00037
PI-000314,poNo,PO-000073
PI-000314,invoiceNo,INV-000083
PI-000314,amount,92125.81
PI-000315,prNo,PR-000067
PI-000315,materialCode,MAT-00032
PI-000315,amount,2077.5
PI-000316,prNo,PR-000067
PI-000316,poNo,PO-000074
PI-000316,amount,250649.66
PI-000316,supplierCode,SUP-007
PI-000317,poNo,PO-000074
PI-000317,grNo,GR-000093
PI-000317,materialCode,MAT-00032
PI-000318,poNo,PO-000074
PI-000318,invoiceNo,INV-000084
PI-000318,amount,247916.77
PI-000319,prNo,PR-000068
PI-000319,materialCode,MAT-00058
PI-000319,amount,52150.46
PI-000320,prNo,PR-000068
PI-000320,poNo,PO-000075
PI-000320,amount,55879.98
PI-000320,supplierCode,SUP-009
PI-000321,poNo,PO-000075
PI-000321,grNo,GR-000094
PI-000321,materialCode,MAT-00058
PI-000322,poNo,PO-000075
PI-000322,invoiceNo,INV-000085
PI-000322,amount,56422.81
PI-000323,prNo,PR-000069
PI-000323,materialCode,MAT-00021
PI-000323,amount,17836.3
PI-000324,prNo,PR-000069
PI-000324,poNo,PO-000076
PI-000324,amount,30139.5
PI-000324,supplierCode,SUP-010
PI-000325,poNo,PO-000076
PI-000325,grNo,GR-000095
PI-000325,materialCode,MAT-00021
PI-000326,poNo,PO-000076
PI-000326,grNo,GR-000096
PI-000326,materialCode,MAT-00021
PI-000327,poNo,PO-000076
PI-000327,invoiceNo,INV-000086
PI-000327,amount,30191.84
PI-000328,prNo,PR-000070
PI-000328,materialCode,MAT-00035
PI-000328,amount,40211.94
PI-000329,prNo,PR-000070
PI-000329,poNo,PO-000077
PI-000329,amount,93916.79
PI-000329,supplierCode,SUP-012
PI-000330,poNo,PO-000077
PI-000330,grNo,GR-000097
PI-000330,materialCode,MAT-00010
PI-000331,poNo,PO-000077
PI-000331,invoiceNo,INV-000087
PI-000331,amount,92175.61
PI-000332,prNo,PR-000071
PI-000332,materialCode,MAT-00047
PI-000332,amount,40274.73
PI-000333,prNo,PR-000071
PI-000333,poNo,PO-000078
PI-000333,amount,20109.32
PI-000333,supplierCode,SUP-010
PI-000334,poNo,PO-000078
PI-000334,grNo,GR-000098
PI-000334,materialCode,MAT-00047
PI-000335,poNo,PO-000078
PI-000335,invoiceNo,INV-000088
PI-000335,amount,11861.82
PI-000336,poNo,PO-000078
PI-000336,invoiceNo,INV-000089
PI-000336,amount,8164.8
PI-000337,prNo,PR-000072
PI-000337,materialCode,MAT-00007
PI-000337,amount,33100.62
PI-000338,prNo,PR-000072
PI-000338,poNo,PO-000079
PI-000338,amount,154156.97
PI-000338,supplierCode,SUP-007
PI-000339,poNo,PO-000079
PI-000339,grNo,GR-000099
PI-000339,materialCode,MAT-00005
PI-000340,poNo,PO-000079
PI-000340,invoiceNo,INV-000090
PI-000340,amount,152165.95
PI-000341,prNo,PR-000073
PI-000341,materialCode,MAT-00041
PI-000341,amount,64223.06
PI-000342,prNo,PR-000073
PI-000342,poNo,PO-000080
PI-000342,amount,133384.45
PI-000342,supplierCode,SUP-010
PI-000343,poNo,PO-000080
PI-000343,grNo,GR-000100
PI-000343,materialCode,MAT-00054
PI-000344,poNo,PO-000080
PI-000344,invoiceNo,INV-000091
PI-000344,amount,80872.73
PI-000345,poNo,PO-000080
PI-000345,invoiceNo,INV-000092
PI-000345,amount,53268.95
PI-000346,prNo,PR-000074
PI-000346,materialCode,MAT-00025
PI-000346,amount,103568.24
PI-000347,prNo,PR-000074
PI-000347,poNo,PO-000081
PI-000347,amount,111294.7
PI-000347,supplierCode,SUP-004
PI-000348,poNo,PO-000081
PI-000348,grNo,GR-000101
PI-000348,materialCode,MAT-00004
PI-000349,poNo,PO-000081
PI-000349,invoiceNo,INV-000093
PI-000349,amount,110712.37
PI-000350,prNo,PR-000075
PI-000350,materialCode,MAT-00053
PI-000350,amount,16522.45
PI-000351,prNo,PR-000075
PI-000351,poNo,PO-000082
PI-000351,amount,10193.22
PI-000351,supplierCode,SUP-012
PI-000352,poNo,PO-000082
PI-000352,grNo,GR-000102
PI-000352,materialCode,MAT-00005
PI-000353,poNo,PO-000082
PI-000353,invoiceNo,INV-000094
PI-000353,amount,10296.61
PI-000354,prNo,PR-000076
PI-000354,materialCode,MAT-00010
PI-000354,amount,38691.06
PI-000355,prNo,PR-000076
PI-000355,poNo,PO-000083
PI-000355,amount,25826.64
PI-000355,supplierCode,SUP-005
PI-000356,poNo,PO-000083
PI-000356,grNo,GR-000103
PI-000356,materialCode,MAT-00010
PI-000357,poNo,PO-000083
PI-000357,invoiceNo,INV-000095
PI-000357,amount,26096.97
PI-000358,prNo,PR-000077
PI-000358,materialCode,MAT-00014
PI-000358,amount,32499.66
PI-000359,prNo,PR-000077
PI-000359,poNo,PO-000084
PI-000359,amount,199423.9
PI-000359,supplierCode,SUP-004
PI-000360,poNo,PO-000084
PI-000360,grNo,GR-000104
PI-000360,materialCode,MAT-00016
PI-000361,poNo,PO-000084
PI-000361,grNo,GR-000105
PI-000361,materialCode,MAT-00014
PI-000362,poNo,PO-000084
PI-000362,invoiceNo,INV-000096
PI-000362,amount,120534.77
PI-000363,poNo,PO-000084
PI-000363,invoiceNo,INV-000097
PI-000363,amount,79180.34
PI-000364,prNo,PR-000078
PI-000364,materialCode,MAT-00042
PI-000364,amount,107568.8
PI-000365,prNo,PR-000079
PI-000365,materialCode,MAT-00051
PI-000365,amount,1950.44
PI-000366,prNo,PR-000079
PI-000366,poNo,PO-000085
PI-000366,amount,246956.28
PI-000366,supplierCode,SUP-011
PI-000367,poNo,PO-000085
PI-000367,grNo,GR-000106
PI-000367,materialCode,MAT-00010
PI-000368,poNo,PO-000085
PI-000368,invoiceNo,INV-000098
PI-000368,amount,243979.74
PI-000369,prNo,PR-000080
PI-000369,materialCode,MAT-00026
PI-000369,amount,21481.79
PI-000370,prNo,PR-000080
PI-000370,poNo,PO-000086
PI-000370,amount,125774.35
PI-000370,supplierCode,SUP-002
PI-000371,poNo,PO-000086
PI-000371,grNo,GR-000107
PI-000371,materialCode,MAT-00017
PI-000372,poNo,PO-000086
PI-000372,grNo,GR-000108
PI-000372,materialCode,MAT-00017
PI-000373,poNo,PO-000086
PI-000373,invoiceNo,INV-000099
PI-000373,amount,127171.1
PI-000374,prNo,PR-000081
PI-000374,materialCode,MAT-00013
PI-000374,amount,46760.97
PI-000375,prNo,PR-000081
PI-000375,poNo,PO-000087
PI-000375,amount,61071.15
PI-000375,supplierCode,SUP-010
PI-000376,poNo,PO-000087
PI-000376,grNo,GR-000109
PI-000376,materialCode,MAT-00034
PI-000377,poNo,PO-000087
PI-000377,invoiceNo,INV-000100
PI-000377,amount,36785.95
PI-000378,poNo,PO-000087
PI-000378,invoiceNo,INV-000101
PI-000378,amount,24620.38
PI-000379,prNo,PR-000082
PI-000379,materialCode,MAT-00011
PI-000379,amount,10612.36
PI-000380,prNo,PR-000083
PI-000380,materialCode,MAT-00045
PI-000380,amount,58485.96
PI-000381,prNo,PR-000083
PI-000381,poNo,PO-000088
PI-000381,amount,31778.75
PI-000381,supplierCode,SUP-011
PI-000382,poNo,PO-000088
PI-000382,grNo,GR-000110
PI-000382,materialCode,MAT-00025
PI-000383,poNo,PO-000088
PI-000383,grNo,GR-000111
PI-000383,materialCode,MAT-00002
PI-000384,poNo,PO-000088
PI-000384,invoiceNo,INV-000102
PI-000384,amount,32052.08
PI-000385,prNo,PR-000084
PI-000385,materialCode,MAT-00022
PI-000385,amount,48037.28
PI-000386,prNo,PR-000084
PI-000386,poNo,PO-000089
PI-000386,amount,86751.5
PI-000386,supplierCode,SUP-005
PI-000387,prNo,PR-000085
PI-000387,materialCode,MAT-00009
PI-000387,amount,80603.23
PI-000388,prNo,PR-000085
PI-000388,poNo,PO-000090
PI-000388,amount,197424.37
PI-000388,supplierCode,SUP-004
PI-000389,poNo,PO-000090
PI-000389,grNo,GR-000112
PI-000389,materialCode,MAT-00050
PI-000390,poNo,PO-000090
PI-000390,invoiceNo,INV-000103
PI-000390,amount,194546.7
PI-000391,prNo,PR-000085
PI-000391,poNo,PO-000091
PI-000391,amount,113293.78
PI-000391,supplierCode,SUP-001
PI-000392,poNo,PO-000091
PI-000392,grNo,GR-000113
PI-000392,materialCode,MAT-00020
PI-000393,poNo,PO-000091
PI-000393,invoiceNo,INV-000104
PI-000393,amount,68582.91
PI-000394,poNo,PO-000091
PI-000394,invoiceNo,INV-000105
PI-000394,amount,44888.38
PI-000395,prNo,PR-000086
PI-000395,materialCode,MAT-00021
PI-000395,amount,93873.86
PI-000396,prNo,PR-000086
PI-000396,poNo,PO-000092
PI-000396,amount,22274.0
PI-000396,supplierCode,SUP-011
PI-000397,poNo,PO-000092
PI-000397,grNo,GR-000114
PI-000397,materialCode,MAT-00012
PI-000398,poNo,PO-000092
PI-000398,invoiceNo,INV-000106
PI-000398,amount,22474.25
PI-000399,prNo,PR-000087
PI-000399,materialCode,MAT-00005
PI-000399,amount,37568.88
PI-000400,prNo,PR-000087
PI-000400,poNo,PO-000093
PI-000400,amount,164508.63
PI-000400,supplierCode,SUP-009
PI-000401,poNo,PO-000093
PI-000401,grNo,GR-000115
PI-000401,materialCode,MAT-00028
PI-000402,poNo,PO-000093
PI-000402,invoiceNo,INV-000107
PI-000402,amount,164805.48
PI-000403,prNo,PR-000088
PI-000403,materialCode,MAT-00050
PI-000403,amount,18676.35
PI-000404,prNo,PR-000088
PI-000404,poNo,PO-000094
PI-000404,amount,173933.27
PI-000404,supplierCode,SUP-003
PI-000405,poNo,PO-000094
PI-000405,grNo,GR-000116
PI-000405,materialCode,MAT-00016
PI-000406,poNo,PO-000094
PI-000406,grNo,GR-000117
PI-000406,materialCode,MAT-00016
PI-000407,poNo,PO-000094
PI-000407,invoiceNo,INV-000108
PI-000407,amount,177010.43
PI-000408,prNo,PR-000089
PI-000408,materialCode,MAT-00017
PI-000408,amount,88367.63
PI-000409,prNo,PR-000089
PI-000409,poNo,PO-000095
PI-000409,amount,34165.72
PI-000409,supplierCode,SUP-004
PI-000410,poNo,PO-000095
PI-000410,grNo,GR-000118
PI-000410,materialCode,MAT-00017
PI-000411,poNo,PO-000095
PI-000411,grNo,GR-000119
PI-000411,materialCode,MAT-00017
PI-000412,poNo,PO-000095
PI-000412,invoiceNo,INV-000109
PI-000412,amount,20477.83
PI-000413,poNo,PO-000095
PI-000413,invoiceNo,INV-000110
PI-000413,amount,13655.57
PI-000414,prNo,PR-000089
PI-000414,poNo,PO-000096
PI-000414,amount,102474.08
PI-000414,supplierCode,SUP-011
PI-000415,poNo,PO-000096
PI-000415,grNo,GR-000120
PI-000415,materialCode,MAT-00019
PI-000416,poNo,PO-000096
PI-000416,invoiceNo,INV-000111
PI-000416,amount,103126.27
PI-000417,prNo,PR-000090
PI-000417,materialCode,MAT-00013
PI-000417,amount,49083.44
PI-000418,prNo,PR-000090
PI-000418,poNo,PO-000097
PI-000418,amount,61787.55
PI-000418,supplierCode,SUP-008
PI-000419,poNo,PO-000097
PI-000419,grNo,GR-000121
PI-000419,materialCode,MAT-00006
PI-000420,poNo,PO-000097
PI-000420,grNo,GR-000122
PI-000420,materialCode,MAT-00006
PI-000421,poNo,PO-000097
PI-000421,invoiceNo,INV-000112
PI-000421,amount,61563.79
PI-000422,prNo,PR-000091
PI-000422,materialCode,MAT-00056
PI-000422,amount,104635.18
PI-000423,prNo,PR-000091
PI-000423,poNo,PO-000098
PI-000423,amount,67909.03
PI-000423,supplierCode,SUP-012
PI-000424,poNo,PO-000098
PI-000424,grNo,GR-000123
PI-000424,materialCode,MAT-00055
PI-000425,poNo,PO-000098
PI-000425,grNo,GR-000124
PI-000425,materialCode,MAT-00056
PI-000426,poNo,PO-000098
PI-000426,invoiceNo,INV-000113
PI-000426,amount,68039.39
PI-000427,prNo,PR-000092
PI-000427,materialCode,MAT-00040
PI-000427,amount,146603.76
PI-000428,prNo,PR-000092
PI-000428,poNo,PO-000099
PI-000428,amount,119915.19
PI-000428,supplierCode,SUP-009
PI-000429,poNo,PO-000099
PI-000429,grNo,GR-000125
PI-000429,materialCode,MAT-00016
PI-000430,poNo,PO-000099
PI-000430,invoiceNo,INV-000114
PI-000430,amount,120624.94
PI-000431,prNo,PR-000093
PI-000431,materialCode,MAT-00045
PI-000431,amount,79545.37
PI-000432,prNo,PR-000093
PI-000432,poNo,PO-000100
PI-000432,amount,50460.77
PI-000432,supplierCode,SUP-010
PI-000433,poNo,PO-000100
PI-000433,grNo,GR-000126
PI-000433,materialCode,MAT-00045
PI-000434,poNo,PO-000100
PI-000434,grNo,GR-000127
PI-000434,materialCode,MAT-00045
PI-000435,poNo,PO-000100
PI-000435,invoiceNo,INV-000115
PI-000435,amount,51386.5
PI-000436,prNo,PR-000094
PI-000436,materialCode,MAT-00045
PI-000436,amount,73099.71
PI-000437,prNo,PR-000094
PI-000437,poNo,PO-000101
PI-000437,amount,142853.88
PI-000437,supplierCode,SUP-011
PI-000438,poNo,PO-000101
PI-000438,grNo,GR-000128
PI-000438,materialCode,MAT-00045
PI-000439,poNo,PO-000101
PI-000439,invoiceNo,INV-000116
PI-000439,amount,141808.57
PI-000440,prNo,PR-000095
PI-000440,materialCode,MAT-00059
PI-000440,amount,13713.63
PI-000441,prNo,PR-000095
PI-000441,poNo,PO-000102
PI-000441,amount,20700.35
PI-000441,supplierCode,SUP-011
PI-000442,poNo,PO-000102
PI-000442,grNo,GR-000129
PI-000442,materialCode,MAT-00059
PI-000443,poNo,PO-000102
PI-000443,invoiceNo,INV-000117
PI-000443,amount,20875.12
PI-000444,prNo,PR-000096
PI-000444,materialCode,MAT-00028
PI-000444,amount,17101.73
PI-000445,prNo,PR-000096
PI-000445,poNo,PO-000103
PI-000445,amount,139858.9
PI-000445,supplierCode,SUP-006
PI-000446,poNo,PO-000103
PI-000446,grNo,GR-000130
PI-000446,materialCode,MAT-00056
PI-000447,poNo,PO-000103
PI-000447,invoiceNo,INV-000118
PI-000447,amount,137603.57
PI-000448,prNo,PR-000097
PI-000448,materialCode,MAT-00048
PI-000448,amount,19623.75
PI-000449,prNo,PR-000097
PI-000449,poNo,PO-000104
PI-000449,amount,12651.76
PI-000449,supplierCode,SUP-007
PI-000450,poNo,PO-000104
PI-000450,grNo,GR-000131
PI-000450,materialCode,MAT-00048
PI-000451,poNo,PO-000104
PI-000451,invoiceNo,INV-000119
PI-000451,amount,12598.42
PI-000452,prNo,PR-000098
PI-000452,materialCode,MAT-00056
PI-000452,amount,8122.8
PI-000453,prNo,PR-000098
PI-000453,poNo,PO-000105
PI-000453,amount,86701.32
PI-000453,supplierCode,SUP-010
PI-000454,poNo,PO-000105
PI-000454,grNo,GR-000132
PI-000454,materialCode,MAT-00040
PI-000455,poNo,PO-000105
PI-000455,invoiceNo,INV-000120
PI-000455,amount,88141.38
PI-000456,prNo,PR-000099
PI-000456,materialCode,MAT-00006
PI-000456,amount,83453.09
PI-000457,prNo,PR-000099
PI-000457,poNo,PO-000106
PI-000457,amount,34690.59
PI-000457,supplierCode,SUP-009
PI-000458,poNo,PO-000106
PI-000458,grNo,GR-000133
PI-000458,materialCode,MAT-00006
PI-000459,poNo,PO-000106
PI-000459,invoiceNo,INV-000121
PI-000459,amount,20467.89
PI-000460,poNo,PO-000106
PI-000460,invoiceNo,INV-000122
PI-000460,amount,13937.15
PI-000461,prNo,PR-000100
PI-000461,materialCode,MAT-00028
PI-000461,amount,86654.91
PI-000462,prNo,PR-000100
PI-000462,poNo,PO-000107
PI-000462,amount,109489.93
PI-000462,supplierCode,SUP-001
PI-000463,poNo,PO-000107
PI-000463,grNo,GR-000134
PI-000463,materialCode,MAT-00014
PI-000464,poNo,PO-000107
PI-000464,invoiceNo,INV-000123
PI-000464,amount,111394.89
PI-000465,prNo,PR-000100
PI-000465,poNo,PO-000108
PI-000465,amount,178767.27
PI-000465,supplierCode,SUP-007
PI-000466,poNo,PO-000108
PI-000466,grNo,GR-000135
PI-000466,materialCode,MAT-00004
PI-000467,poNo,PO-000108
PI-000467,invoiceNo,INV-000124
PI-000467,amount,178101.72
PI-000468,prNo,PR-000101
PI-000468,materialCode,MAT-00033
PI-000468,amount,4084.3
PI-000469,prNo,PR-000101
PI-000469,poNo,PO-000109
PI-000469,amount,96264.78
PI-000469,supplierCode,SUP-001
PI-000470,poNo,PO-000109
PI-000470,grNo,GR-000136
PI-000470,materialCode,MAT-00036
PI-000471,poNo,PO-000109
PI-000471,grNo,GR-000137
PI-000471,materialCode,MAT-00049
PI-000472,poNo,PO-000109
PI-000472,invoiceNo,INV-000125
PI-000472,amount,96070.88
PI-000473,prNo,PR-000102
PI-000473,materialCode,MAT-00026
PI-000473,amount,71237.92
PI-000474,prNo,PR-000102
PI-000474,poNo,PO-000110
PI-000474,amount,11600.08
PI-000474,supplierCode,SUP-010
PI-000475,poNo,PO-000110
PI-000475,grNo,GR-000138
PI-000475,materialCode,MAT-00026
PI-000476,poNo,PO-000110
PI-000476,invoiceNo,INV-000126
PI-000476,amount,11385.79
PI-000477,prNo,PR-000103
PI-000477,materialCode,MAT-00012
PI-000477,amount,28466.21
PI-000478,prNo,PR-000103
PI-000478,poNo,PO-000111
PI-000478,amount,116787.93
PI-000478,supplierCode,SUP-010
PI-000479,poNo,PO-000111
PI-000479,grNo,GR-000139
PI-000479,materialCode,MAT-00012
PI-000480,poNo,PO-000111
PI-000480,invoiceNo,INV-000127
PI-000480,amount,117703.92
PI-000481,prNo,PR-000104
PI-000481,materialCode,MAT-00012
PI-000481,amount,15549.6
PI-000482,prNo,PR-000104
PI-000482,poNo,PO-000112
PI-000482,amount,6501.32
PI-000482,supplierCode,SUP-004
PI-000483,poNo,PO-000112
PI-000483,grNo,GR-000140
PI-000483,materialCode,MAT-00012
PI-000484,poNo,PO-000112
PI-000484,invoiceNo,INV-000128
PI-000484,amount,6398.82
PI-000485,prNo,PR-000105
PI-000485,materialCode,MAT-00054
PI-000485,amount,2193.13
PI-000486,prNo,PR-000105
PI-000486,poNo,PO-000113
PI-000486,amount,88371.63
PI-000486,supplierCode,SUP-004
PI-000487,poNo,PO-000113
PI-000487,grNo,GR-000141
PI-000487,materialCode,MAT-00054
PI-000488,poNo,PO-000113
PI-000488,invoiceNo,INV-000129
PI-000488,amount,90040.39
PI-000489,prNo,PR-000106
PI-000489,materialCode,MAT-00014
PI-000489,amount,86955.48
PI-000490,prNo,PR-000106
PI-000490,poNo,PO-000114
PI-000490,amount,8262.7
PI-000490,supplierCode,SUP-012
PI-000491,poNo,PO-000114
PI-000491,grNo,GR-000142
PI-000491,materialCode,MAT-00014
PI-000492,poNo,PO-000114
PI-000492,grNo,GR-000143
PI-000492,materialCode,MAT-00014
PI-000493,poNo,PO-000114
PI-000493,invoiceNo,INV-000130
PI-000493,amount,8292.91
PI-000494,prNo,PR-000107
PI-000494,materialCode,MAT-00018
PI-000494,amount,2396.07
PI-000495,prNo,PR-000107
PI-000495,poNo,PO-000115
PI-000495,amount,144823.83
PI-000495,supplierCode,SUP-011
PI-000496,poNo,PO-000115
PI-000496,grNo,GR-000144
PI-000496,materialCode,MAT-00018
PI-000497,poNo,PO-000115
PI-000497,grNo,GR-000145
PI-000497,materialCode,MAT-00024
PI-000498,poNo,PO-000115
PI-000498,invoiceNo,INV-000131
PI-000498,amount,86709.84
PI-000499,poNo,PO-000115
PI-000499,invoiceNo,INV-000132
PI-000499,amount,58358.57
PI-000500,prNo,PR-000108
PI-000500,materialCode,MAT-00055
PI-000500,amount,105853.59
PI-000501,prNo,PR-000108
PI-000501,poNo,PO-000116
PI-000501,amount,55333.5
PI-000501,supplierCode,SUP-006
PI-000502,poNo,PO-000116
PI-000502,grNo,GR-000146
PI-000502,materialCode,MAT-00055
PI-000503,poNo,PO-000116
PI-000503,invoiceNo,INV-000133
PI-000503,amount,54853.29
PI-000504,prNo,PR-000109
PI-000504,materialCode,MAT-00005
PI-000504,amount,43944.69
PI-000505,prNo,PR-000109
PI-000505,poNo,PO-000117
PI-000505,amount,91426.84
PI-000505,supplierCode,SUP-007
PI-000506,poNo,PO-000117
PI-000506,grNo,GR-000147
PI-000506,materialCode,MAT-00002
PI-000507,poNo,PO-000117
PI-000507,grNo,GR-000148
PI-000507,materialCode,MAT-00002
PI-000508,poNo,PO-000117
PI-000508,invoiceNo,INV-000134
PI-000508,amount,91790.7
PI-000509,prNo,PR-000110
PI-000509,materialCode,MAT-00017
PI-000509,amount,73131.84
PI-000510,prNo,PR-000110
PI-000510,poNo,PO-000118
PI-000510,amount,45268.68
PI-000510,supplierCode,SUP-002
PI-000511,poNo,PO-000118
PI-000511,grNo,GR-000149
PI-000511,materialCode,MAT-00017
PI-000512,poNo,PO-000118
PI-000512,invoiceNo,INV-000135
PI-000512,amount,44776.11
PI-000513,prNo,PR-000110
PI-000513,poNo,PO-000119
PI-000513,amount,38628.58
PI-000513,supplierCode,SUP-008
PI-000514,poNo,PO-000119
PI-000514,grNo,GR-000150
PI-000514,materialCode,MAT-00017
PI-000515,poNo,PO-000119
PI-000515,grNo,GR-000151
PI-000515,materialCode,MAT-00017
PI-000516,poNo,PO-000119
PI-000516,invoiceNo,INV-000136
PI-000516,amount,38414.78
PI-000517,prNo,PR-000111
PI-000517,materialCode,MAT-00056
PI-000517,amount,147630.26
PI-000518,prNo,PR-000111
PI-000518,poNo,PO-000120
PI-000518,amount,4259.48
PI-000518,supplierCode,SUP-004
PI-000519,poNo,PO-000120
PI-000519,grNo,GR-000152
PI-000519,materialCode,MAT-00056
PI-000520,poNo,PO-000120
PI-000520,invoiceNo,INV-000137
PI-000520,amount,4186.87
PI-000521,prNo,PR-000112
PI-000521,materialCode,MAT-00051
PI-000521,amount,12113.12
PI-000522,prNo,PR-000112
PI-000522,poNo,PO-000121
PI-000522,amount,90322.85
PI-000522,supplierCode,SUP-008
PI-000523,poNo,PO-000121
PI-000523,grNo,GR-000153
PI-000523,materialCode,MAT-00008
PI-000524,poNo,PO-000121
PI-000524,invoiceNo,INV-000138
PI-000524,amount,90214.47
PI-000525,prNo,PR-000112
PI-000525,poNo,PO-000122
PI-000525,amount,1436.12
PI-000525,supplierCode,SUP-011
PI-000526,poNo,PO-000122
PI-000526,grNo,GR-000154
PI-000526,materialCode,MAT-00051
PI-000527,poNo,PO-000122
PI-000527,invoiceNo,INV-000139
PI-000527,amount,1430.56
PI-000528,prNo,PR-000113
PI-000528,materialCode,MAT-00026
PI-000528,amount,34429.42
PI-000529,prNo,PR-000113
PI-000529,poNo,PO-000123
PI-000529,amount,24466.64
PI-000529,supplierCode,SUP-012
PI-000530,poNo,PO-000123
PI-000530,grNo,GR-000155
PI-000530,materialCode,MAT-00026
PI-000531,poNo,PO-000123
PI-000531,grNo,GR-000156
PI-000531,materialCode,MAT-00026
PI-000532,poNo,PO-000123
PI-000532,invoiceNo,INV-000140
PI-000532,amount,24009.86
